,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95750,95751,2023-07-02 12:30:00,30,12,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95751,95752,2023-07-02 12:45:00,45,12,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95752,95753,2023-07-02 13:00:00,0,13,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95753,95754,2023-07-02 13:15:00,15,13,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95754,95755,2023-07-02 13:30:00,30,13,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95755,95756,2023-07-02 13:45:00,45,13,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95756,95757,2023-07-02 14:00:00,0,14,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95757,95758,2023-07-02 14:15:00,15,14,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95758,95759,2023-07-02 14:30:00,30,14,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95759,95760,2023-07-02 14:45:00,45,14,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95760,95761,2023-07-02 15:00:00,0,15,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95761,95762,2023-07-02 15:15:00,15,15,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95762,95763,2023-07-02 15:30:00,30,15,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95763,95764,2023-07-02 15:45:00,45,15,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95764,95765,2023-07-02 16:00:00,0,16,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95765,95766,2023-07-02 16:15:00,15,16,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95766,95767,2023-07-02 16:30:00,30,16,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95767,95768,2023-07-02 16:45:00,45,16,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95768,95769,2023-07-02 17:00:00,0,17,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95769,95770,2023-07-02 17:15:00,15,17,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95770,95771,2023-07-02 17:30:00,30,17,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
